image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
image_name: img/720x480.png, step: 1, blockSize: 992, gridSize: 1046
image_name: img/720x480.png, step: 3, blockSize: 384, gridSize: 2700
image_name: img/720x480.png, step: 4, blockSize: 256, gridSize: 4050
Average time gpu (15 runs, img/720x480.png): 5.331504 ms
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
image_name: img/1024x768.png, step: 1, blockSize: 992, gridSize: 2379
image_name: img/1024x768.png, step: 3, blockSize: 512, gridSize: 4608
image_name: img/1024x768.png, step: 4, blockSize: 256, gridSize: 9216
Average time gpu (15 runs, img/1024x768.png): 0.958232 ms
image_name: img/1920x1200.png, step: 1, blockSize: 1024, gridSize: 6750
image_name: img/1920x1200.png, step: 3, blockSize: 512, gridSize: 13500
image_name: img/1920x1200.png, step: 4, blockSize: 256, gridSize: 27000
image_name: img/1920x1200.png, step: 1, blockSize: 1024, gridSize: 6750
image_name: img/1920x1200.png, step: 3, blockSize: 512, gridSize: 13500
image_name: img/1920x1200.png, step: 4, blockSize: 256, gridSize: 27000
image_name: img/1920x1200.png, step: 1, blockSize: 1024, gridSize: 6750
image_name: img/1920x1200.png, step: 3, blockSize: 512, gridSize: 13500
image_name: img/1920x1200.png, step: 4, blockSize: 256, gridSize: 27000
image_name: img/1920x1200.png, step: 1, blockSize: 1024, gridSize: 6750
image_name: img/1920x1200.png, step: 3, blockSize: 512, gridSize: 13500
image_name: img/1920x1200.png, step: 4, blockSize: 256, gridSize: 27000
image_name: img/1920x1200.png, step: 1, blockSize: 1024, gridSize: 6750
image_name: img/1920x1200.png, step: 3, blockSize: 512, gridSize: 13500
image_name: img/1920x1200.png, step: 4, blockSize: 256, gridSize: 27000
image_name: img/1920x1200.png, step: 1, blockSize: 1024, gridSize: 6750
image_name: img/1920x1200.png, step: 3, blockSize: 512, gridSize: 13500
image_name: img/1920x1200.png, step: 4, blockSize: 256, gridSize: 27000
image_name: img/1920x1200.png, step: 1, blockSize: 1024, gridSize: 6750
image_name: img/1920x1200.png, step: 3, blockSize: 512, gridSize: 13500
image_name: img/1920x1200.png, step: 4, blockSize: 256, gridSize: 27000
image_name: img/1920x1200.png, step: 1, blockSize: 1024, gridSize: 6750
image_name: img/1920x1200.png, step: 3, blockSize: 512, gridSize: 13500
image_name: img/1920x1200.png, step: 4, blockSize: 256, gridSize: 27000
image_name: img/1920x1200.png, step: 1, blockSize: 1024, gridSize: 6750
image_name: img/1920x1200.png, step: 3, blockSize: 512, gridSize: 13500
image_name: img/1920x1200.png, step: 4, blockSize: 256, gridSize: 27000
image_name: img/1920x1200.png, step: 1, blockSize: 1024, gridSize: 6750
image_name: img/1920x1200.png, step: 3, blockSize: 512, gridSize: 13500
image_name: img/1920x1200.png, step: 4, blockSize: 256, gridSize: 27000
image_name: img/1920x1200.png, step: 1, blockSize: 1024, gridSize: 6750
image_name: img/1920x1200.png, step: 3, blockSize: 512, gridSize: 13500
image_name: img/1920x1200.png, step: 4, blockSize: 256, gridSize: 27000
image_name: img/1920x1200.png, step: 1, blockSize: 1024, gridSize: 6750
image_name: img/1920x1200.png, step: 3, blockSize: 512, gridSize: 13500
